"","Lineup","Offensive Poss","ORtg","TO%","OREB%","Defensive Poss","DRtg","Forced TO%","Allowed OREB%","Team"
"1","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne",147.6,1.22,0.18,0.33,151.96,1.22,0.18,0.44,"HAKRO Merlins Crailsheim"
"2","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne",102.76,1.11,0.18,0.35,99.6,0.98,0.23,0.31,"HAKRO Merlins Crailsheim"
"3","Bleck, Fabian || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",92.12,1.11,0.13,0.33,96.6,1.15,0.14,0.39,"HAKRO Merlins Crailsheim"
"4","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",90.04,1.28,0.17,0.4,85.4,0.96,0.18,0.4,"HAKRO Merlins Crailsheim"
"5","Ford, Quincy || Hawkins, Javontae || Jones, Aaron || Russell, DeWayne || Span, Jan",42.4,1.27,0.14,0.15,45.96,1.24,0.13,0.36,"HAKRO Merlins Crailsheim"
"6","Ford, Quincy || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Span, Jan",38.08,0.79,0.26,0.24,31.52,0.7,0.25,0.12,"HAKRO Merlins Crailsheim"
"7","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Span, Jan",37.4,1.02,0.16,0.42,30.48,1.12,0.13,0.1,"HAKRO Merlins Crailsheim"
"8","Jakobi, Dennis || Prtenjaca, Ante || Rümmele, Christopher || Rossek, Nils || Ulrich, Kevin",34.52,0.98,0.35,0.35,39.96,1.13,0.2,0.25,"HAKRO Merlins Crailsheim"
"9","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Morgan, Jeremy || Russell, DeWayne",37.6,1.46,0.11,0.67,36.32,1.05,0.28,0.5,"HAKRO Merlins Crailsheim"
"10","Ford, Quincy || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",26.08,1.11,0.12,0.44,29.96,1.07,0.2,0.47,"HAKRO Merlins Crailsheim"
"11","Idiaru, Promise || Kovacevic, Aleksa || Lazic, Vladan || Tokody, Gerlouis || Urbansky, Sören-Eyke",33.16,0.93,0.15,0.25,31.32,0.93,0.22,0.25,"HAKRO Merlins Crailsheim"
"12","Hawkins, Javontae || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne || Span, Jan",29.96,1.1,0,0.12,28.6,1.4,0.1,0.22,"HAKRO Merlins Crailsheim"
"13","Ford, Quincy || Hawkins, Javontae || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",31.4,1.15,0.1,0.33,29.08,1.24,0.17,0.12,"HAKRO Merlins Crailsheim"
"14","Bleck, Fabian || Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Span, Jan",23.64,0.72,0.13,0.2,23.84,1.34,0.17,0.67,"HAKRO Merlins Crailsheim"
"15","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Span, Jan",27.52,1.56,0.15,0.45,22.52,1.47,0.13,0.38,"HAKRO Merlins Crailsheim"
"16","Hahn, Jannis || Idiaru, Precious || Kovacevic, Aleksa || Moser, Benjamin || Ulrich, Kevin",26.64,1.24,0.19,0.57,25.52,1.06,0.2,0.27,"HAKRO Merlins Crailsheim"
"17","Ford, Quincy || Herrera, Sebastian || Jones, Aaron || Morgan, Jeremy || Russell, DeWayne",26.96,1.26,0.07,0.1,25.4,1.02,0.28,0.5,"HAKRO Merlins Crailsheim"
"18","Bleck, Fabian || Hawkins, Javontae || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",24.2,1.36,0.08,0.43,20.84,1.2,0.1,0.5,"HAKRO Merlins Crailsheim"
"19","Ford, Quincy || Herrera, Sebastian || Kovacevic, Dejan || Morgan, Jeremy || Span, Jan",25.52,1.06,0.2,0.11,27.2,0.51,0.26,0.07,"HAKRO Merlins Crailsheim"
"20","Hawkins, Javontae || Herrera, Sebastian || Jones, Aaron || Russell, DeWayne || Span, Jan",23.64,1.23,0.13,0.42,22.04,1.18,0.09,0.25,"HAKRO Merlins Crailsheim"
"21","Bleck, Fabian || Jones, Aaron || Morgan, Jeremy || Span, Jan || Stuckey, Maurice",18.88,1.11,0.16,0.3,20.64,1.36,0.19,0.78,"HAKRO Merlins Crailsheim"
"22","Bleck, Fabian || Hawkins, Javontae || Jones, Aaron || Span, Jan || Stuckey, Maurice",15.52,1.03,0.06,0.33,17.2,1.51,0,0.5,"HAKRO Merlins Crailsheim"
